기관명,펌프차,물탱크차,화학차,생화학구조차,고가사다리차,굴절사다리차,무인파괴방수차,소형사다리차,배연차,구급차,구조공작차,구조견차,구조버스,행정차,지휘차,순찰차,진단차,화물차,승합차,유조차,소화약제탱크차,생활구조차,화재조사차,장비운반차,안전체험차,교육훈련차
소방본부,3,,1,1,,,,,,1,1,0,1,6,3,3,1,1,2,2,,,1,2,3,1
진주소방서,10,6,2,,1,1,,1,1,11,1,0,,1,1,4,1,2,2,,,1,1,2,,
통영소방서,7,3,1,,1,1,,,1,5,1,0,,1,1,4,1,1,1,,,1,1,2,,
사천소방서,6,4,1,,1,1,,,1,8,1,0,,1,1,4,1,2,1,,,1,1,1,,
김해동부소방서,8,6,1,,1,1,,1,1,8,1,0,,2,1,4,1,1,1,,,1,1,2,,
김해서부소방서,6,5,2,,1,2,1,,,8,1,0,,2,1,4,1,1,,,1,1,1,1,,
밀양소방서,7,5,1,,1,1,,,1,7,1,0,,2,1,4,1,1,1,,,1,1,1,,
거제소방서,9,5,2,,1,1,,1,1,9,1,0,,2,1,4,1,2,1,,,1,1,1,,
양산소방서,7,6,3,,2,1,,1,1,10,2,0,,2,1,6,1,1,1,,,1,1,2,,
의령소방서,4,2,1,,1,1,,,,4,1,0,,2,1,2,1,1,,,,1,1,1,,
함안소방서,7,2,2,,1,1,,,1,5,1,0,,2,1,3,1,1,1,,,1,1,2,,
창녕소방서,6,4,1,,1,1,,,1,6,1,0,,2,1,3,1,2,1,,,1,1,1,,
고성소방서,7,3,1,,1,1,,,,5,1,0,,2,1,3,1,1,1,,,1,1,1,,
남해소방서,10,2,1,,1,1,,,1,6,1,0,,2,1,2,1,1,1,,,1,1,1,,
하동소방서,11,3,1,,1,1,,,1,5,1,0,,2,1,2,1,1,1,,,1,1,1,,
산청소방서,6,3,1,,1,1,,,,5,1,1,,2,1,3,1,1,,,,1,1,1,,
함양소방서,7,3,1,,1,1,,,,6,1,0,,2,1,2,1,1,1,,,1,1,1,,
거창소방서,6,3,1,,1,1,,,1,6,1,0,,2,1,2,1,1,1,,,1,1,1,,
합천소방서,8,3,1,,1,1,,,,7,1,0,,2,1,3,1,1,,,,1,1,2,,
